country,latitude,longitude,Average Distance
Andorra,42.546245,1.601554,3936.452
United Arab Emirates,23.424076,53.847818,4354.006
Afghanistan,33.93911,67.709953,4542.205
Antigua and Barbuda,17.060816,-61.796428,5141.676
Anguilla,18.220554,-63.068615,5158.805
Albania,41.153332,20.168331,3861.65
Armenia,40.069099,45.038189,4115.44
Netherlands Antilles,12.226079,-69.060087,5386.848
Angola,-11.202692,17.873887,4669.937
Antarctica,-75.250973,-0.071389,6678.24
Argentina,-38.416097,-63.616672,6295.86
American Samoa,-14.270972,-170.132217,6914.373
Austria,47.516231,14.550072,3905.464
Australia,-25.274398,133.775136,6610.661
Aruba,12.52111,-69.968338,5405.653
Azerbaijan,40.143105,47.576927,4155.812
Bosnia and Herzegovina,43.915886,17.679076,3869.9
Barbados,13.193887,-59.543198,5145.182
Bangladesh,23.684994,90.356331,5030.763
Belgium,50.503887,4.469936,3989.137
Burkina Faso,12.238333,-1.561593,4172.569
Bulgaria,42.733883,25.48583,3896.786
Bahrain,25.930414,50.637772,4267.206
Burundi,-3.373056,29.918886,4508.687
Benin,9.30769,2.315834,4192.417
Bermuda,32.321384,-64.75737,5117.761
Brunei,4.535277,114.727669,5840.191
Bolivia,-16.290154,-63.588653,5827.779
Brazil,-14.235004,-51.92528,5545.97
Bahamas,25.03428,-77.39628,5460.567
Bhutan,27.514162,90.433601,5003.075
Bouvet Island,-54.423199,3.413194,6146.041
Botswana,-22.328474,24.684866,5041.241
Belarus,53.709807,27.953389,4053.301
Belize,17.189877,-88.49765,5819.458
Canada,56.130366,-106.346771,5632.472
Cocos [Keeling] Islands,-12.164165,96.870956,5752.01
Congo [DRC],-4.038333,21.758664,4476.79
Central African Republic,6.611111,20.939444,4220.306
Congo [Republic],-0.228021,15.827659,4363.602
Switzerland,46.818188,8.227512,3917.94
Côte d'Ivoire,7.539989,-5.54708,4301.145
Cook Islands,-21.236736,-159.777671,6919.262
Chile,-35.675147,-71.542969,6360.082
Cameroon,7.369722,12.354722,4189.939
China,35.86166,104.195397,5242.102
Colombia,4.570868,-74.297333,5651.281
Costa Rica,9.748917,-83.753428,5804.041
Cuba,21.521757,-77.781167,5502.739
Cape Verde,16.002082,-24.013197,4437.79
Christmas Island,-10.447525,105.690449,5907.892
Cyprus,35.126413,33.429859,3954.591
Czech Republic,49.817492,15.472962,3938.957
Germany,51.165691,10.451526,3969.989
Djibouti,11.825138,42.590275,4331.768
Denmark,56.26392,9.501785,4075.617
Dominica,15.414999,-61.370976,5151.812
Dominican Republic,18.735693,-70.162651,5330.606
Algeria,28.033886,1.659626,3957.336
Ecuador,-1.831239,-78.183406,5864.64
Estonia,58.595272,25.013607,4140.418
Egypt,26.820553,30.802498,3981.305
Western Sahara,24.215527,-12.885834,4165.959
Eritrea,15.179384,39.782334,4235.836
Spain,40.463667,-3.74922,3986.279
Ethiopia,9.145,40.489673,4350.602
Finland,61.92411,25.748151,4225.45
Fiji,-16.578193,179.414413,6919.363
Falkland Islands [Islas Malvinas],-51.796253,-59.523613,6488.035
Micronesia,7.425554,150.550812,6579.309
Faroe Islands,61.892635,-6.911806,4300.851
France,46.227638,2.213749,3955.166
Gabon,-0.803689,11.609444,4380.095
United Kingdom,55.378051,-3.435973,4136.766
Grenada,12.262776,-61.604171,5202.794
Georgia,42.315407,43.356892,4096.814
French Guiana,3.933889,-53.125782,5177.754
Guernsey,49.465691,-2.585278,4036.564
Ghana,7.946527,-1.023194,4247.261
Gibraltar,36.137741,-5.345374,4001.483
Greenland,71.706936,-42.604303,4807.142
Gambia,13.443182,-15.310139,4327.773
Guinea,9.945587,-9.696645,4305.414
Guadeloupe,16.995971,-62.067641,5148.157
Equatorial Guinea,1.650801,10.267895,4321.362
Greece,39.074208,21.824312,3865.281
South Georgia and the South Sandwich Islands,-54.429579,-36.587909,6351.971
Guatemala,15.783471,-90.230759,5879.873
Guam,13.444304,144.793731,6391.033
Guinea-Bissau,11.803749,-15.180413,4351.521
Guyana,4.860416,-58.93018,5281.215
Gaza Strip,31.354676,34.308825,3978.419
Hong Kong,22.396428,114.109497,5579.312
Heard Island and McDonald Islands,-53.08181,73.504158,6350.445
Honduras,15.199999,-86.241905,5789.088
Croatia,45.1,15.2,3878.584
Haiti,18.971187,-72.285215,5383.288
Hungary,47.162494,19.503304,3905.778
Indonesia,-0.789275,113.921327,5912.299
Ireland,53.41291,-8.24389,4154.427
Israel,31.046051,34.851612,3986.399
Isle of Man,54.236107,-4.548056,4127.123
India,20.593684,78.96288,4841.364
British Indian Ocean Territory,-6.343194,71.876519,5154.969
Iraq,33.223191,43.679291,4102.717
Iran,32.427908,53.688046,4275.854
Iceland,64.963051,-19.020835,4473.884
Italy,41.87194,12.56738,3862.909
Jersey,49.214439,-2.13125,4028.755
Jamaica,18.109581,-77.297508,5526.974
Jordan,30.585164,36.238414,4006.561
Japan,36.204824,138.252924,5965.424
Kenya,-0.023559,37.906193,4510.064
Kyrgyzstan,41.20438,74.766098,4660.702
Cambodia,12.565679,104.990963,5484.651
Kiribati,-3.370417,-168.734039,6885.188
Comoros,-11.875001,43.872219,4886.669
Saint Kitts and Nevis,17.357822,-62.782998,5160.57
North Korea,40.339852,127.510093,5710.525
South Korea,35.907757,127.766922,5759.382
Kuwait,29.31166,47.481766,4185.739
Cayman Islands,19.513469,-80.566956,5596.957
Kazakhstan,48.019573,66.923684,4517.274
Laos,19.85627,102.495496,5333.851
Lebanon,33.854721,35.862285,3984.951
Saint Lucia,13.909444,-60.978893,5163.708
Liechtenstein,47.166,9.555373,3915.308
Sri Lanka,7.873054,80.771797,5043.376
Liberia,6.428055,-9.429499,4370.674
Lesotho,-29.609988,28.233608,5308.689
